course_id,course_title,primary_instructor,average_grade
BADM 210,Business Analytics I,"Larson, Eric",3.54
BADM 210,Business Analytics I,"Pant, Shagun",3.79
BADM 211,Business Analytics II,"Ahsen, Mehmet E",3.74
BADM 211,Business Analytics II,"Bahrini, Aram",3.8
BADM 211,Business Analytics II,"Gao, Yang",3.84
BADM 211,Business Analytics II,"Haksoz, Cagri",3.24
BADM 211,Business Analytics II,"Liu, Zilong",3.73
BADM 211,Business Analytics II,"Moshref Javadi, Mohammad",3.58
BADM 211,Business Analytics II,"Virudachalam, Vanitha",3.68
BADM 261,Technology & Mgmt Seminar,"Koon, Samantha L",3.9
BADM 275,Operations Management,"Baddam, Swathi Reddy",3.82
BADM 275,Operations Management,"Han, Rongqing",3.79
BADM 275,Operations Management,"Kirci, Ismail",3.72
BADM 275,Operations Management,"Liang, Hongyan",3.78
BADM 275,Operations Management,"Qiu, Shi",3.76
BADM 275,Operations Management,"Tyagi, Hanu",3.8
BADM 275,Operations Management,"Wang, Yixin",3.86
BADM 300,The Legal Environment of Bus,"Warnick, Emerson T",3.86
BADM 300,The Legal Environment of Bus,"Winter, Gretchen A",3.24
BADM 300,The Legal Environment of Bus,"Wright, Margaret",3.73
BADM 310,Mgmt and Organizational Beh,"Ji, Mingshuang",3.9
BADM 310,Mgmt and Organizational Beh,"Swenddal, Heather J",3.9
BADM 310,Mgmt and Organizational Beh,"White, Judith B",3.84
BADM 311,Leading Individuals and Teams,"Goncalo, Jack",3.91
BADM 311,Leading Individuals and Teams,"Gupta, Pranav",3.58
BADM 311,Leading Individuals and Teams,"Luckman, Elizabeth",3.57
BADM 312,Designing and Managing Orgs,"Khessina, Olga",3.68
BADM 312,Designing and Managing Orgs,"Kraatz, Matthew S",3.47
BADM 312,Designing and Managing Orgs,"Ocasio, William C",3.57
BADM 312,Designing and Managing Orgs,"Swenddal, Heather J",
BADM 313,Strategic Human Res Management,"Nelson, Dylan K",3.89
BADM 314,Leading Negotiations,"Loewenstein, Jeffrey",3.24
BADM 314,Leading Negotiations,"Ybarra, Oscar",3.58
BADM 320,Principles of Marketing,"Kim, Myoung Hee",3.82
BADM 320,Principles of Marketing,"Wolters, Mark E",3.69
BADM 320,Principles of Marketing,"Xu, Jing",3.78
BADM 322,Marketing Research,"Bao, Ying",3.55
BADM 322,Marketing Research,"Kim, Myoung Hee",3.89
BADM 323,Marketing Communications,"Raquel, Steve A",
BADM 323,Marketing Communications,"White, Tiffany B",3.93
BADM 324,Purchasing and Supply Mgmnt,"Haksoz, Cagri",3.86
BADM 325,Consumer Behavior,"Han, Wenna",3.89
BADM 325,Consumer Behavior,"Lee, Ji Hyun",3.43
BADM 325,Consumer Behavior,"Lim, Sarah",3.96
BADM 326,Pricing Strategy,"Liu, Yunchuan",3.68
BADM 329,New Product Development,"Noel, Hayden N",3.84
BADM 329,New Product Development,"Sharifironizi, Melika",3.89
BADM 330,Brand Management,"Smith, Rosanna K",3.84
BADM 331,Making Things,"Rindfleisch, Aric P",3.83
BADM 335,Supply Chain Management Basics,"Scott, Nehemiah",3.52
BADM 337,Practicum in Supply Chain Mgt,"Baddam, Swathi Reddy",
BADM 337,Practicum in Supply Chain Mgt,"Mehrotra, Mili",
BADM 338,Global Supply Chain Management,"Clougherty, Joseph A",3.82
BADM 340,Ethical Dilemmas of Business,"Noonan, James R",3.85
BADM 340,Ethical Dilemmas of Business,"Ward, Sarah",3.75
BADM 341,Foundations of Strategic Mgmt,"Kim, June-Young",3.86
BADM 346,Intro to Entrepreneurship,"Kourpas, Elias",3.8
BADM 350,IT for Networked Organizations,"Gao, Yang",3.92
BADM 350,IT for Networked Organizations,"Ghoshal, Abhijeet",3.88
BADM 350,IT for Networked Organizations,"Sachdev, Vishal",3.68
BADM 350,IT for Networked Organizations,"Subramanyam, Ramanath",3.68
BADM 351,Social Media Strategy,"Ivanov, Anton",3.94
BADM 351,Social Media Strategy,"Sumkin, Dmitrii",3.92
BADM 352,Database Design and Management,"Garimella, Aravinda",3.93
BADM 352,Database Design and Management,"Liu, Zilong",3.88
BADM 353,Info Sys Analysis and Design,"Haran, Vidya",3.79
BADM 353,Info Sys Analysis and Design,"Nelson, Matthew L",3.98
BADM 356,Data Science and Analytics,"Moshref Javadi, Mohammad",3.6
BADM 356,Data Science and Analytics,"Pant, Gautam",3.96
BADM 358,Big Data Platforms,"Khandelwal, Ashish",
BADM 359,Bus Prob Form and Soln,"Kim, June-Young",
BADM 360,Digital Marketing,"Raquel, Steve A",3.86
BADM 362,Intro to Consumer Analytics,"Bao, Ying",
BADM 365,New Product Marketing,"Mehta, Ravi P",3.88
BADM 366,Product Design and Development,"Sethi, Suresh",
BADM 367,Mgmt of Innov and Technology,"Sakhartov, Arkadiy V",3.82
BADM 370,Information Security Mgmt,"Ghoshal, Abhijeet",3.94
BADM 371,UI/UX Design,"Haran, Vidya",
BADM 374,Management Decision Models,"Kwon, Hyok-Jon D",3.48
BADM 374,Management Decision Models,"Liang, Hongyan",3.75
BADM 375,Operations Strategy,"Liang, Hongyan",3.82
BADM 375,Operations Strategy,"Moshref Javadi, Mohammad",3.82
BADM 377,Project Management,"Kirci, Ismail",3.47
BADM 378,Logistics Management,"Bahrini, Aram",3.86
BADM 379,Business Process Improvement,"Anand, Gopesh J",3.73
BADM 380,International Business,"Bucheli, Marcelo",3.56
BADM 380,International Business,"Martinez, Candace A",3.54
BADM 380,International Business,"Minefee, Ishva",3.95
BADM 381,Multinational Management,"Feng, Yilang",3.82
BADM 381,Multinational Management,"Martinez, Candace A",3.72
BADM 382,International Marketing,"Euh, Hyun",3.97
BADM 382,International Marketing,"Torelli, Carlos J",3.69
BADM 383,Business in the EU,"Martinez, Candace A",3.94
BADM 395,"Business, Power & Inequality","Fulton, Brian R",3.73
BADM 395,Illinois Bus Ethics Academy,"Warnick, Emerson T",
BADM 395,Social Media Marketing,"Wolters, Mark E",
BADM 395,Sustainable Op & Supply Chains,"Baddam, Swathi Reddy",
BADM 403,Corporate & Commercial Law,"Fricke, Michael R",3.91
BADM 403,Corporate & Commercial Law,"Wright, Margaret",3.93
BADM 420,Advanced Marketing Management,"Rindfleisch, Aric P",3.78
BADM 420,Advanced Marketing Management,"Wolters, Mark E",
BADM 420,Advanced Marketing Management,"Yuan, Di",3.72
BADM 446,Entrep: New Venture Creation,"Roach, Michael",3.84
BADM 449,Business Policy and Strategy,"Chattopadhyay, Shinjinee",3.62
BADM 449,Business Policy and Strategy,"Chung, Hyuck D",3.73
BADM 449,Business Policy and Strategy,"Guo, Min",3.84
BADM 449,Business Policy and Strategy,"Inoue, Carlos",3.68
BADM 449,Business Policy and Strategy,"Isakova, Valerie",3.62
BADM 449,Business Policy and Strategy,"Kim, June-Young",3.51
BADM 449,Business Policy and Strategy,"Mahoney, Joseph T",3.66
BADM 449,Business Policy and Strategy,"Martinez, Candace A",3.78
BADM 449,Business Policy and Strategy,"Pedraza Novak, Daniela",3.48
BADM 449,Business Policy and Strategy,"Rha, Young Sir",3.73
BADM 449,Business Policy and Strategy,"Wang, Xin",3.76
BADM 453,Business Intelligence,"Bahrini, Aram",3.96
BADM 453,Business Intelligence,"Ivanov, Anton",3.92
BADM 453,Business Intelligence,"Nelson, Matthew L",3.83
BADM 460,Business Process Modeling,"Moshref Javadi, Mohammad",3.8
BADM 461,"Tech, Eng, & Mgt Final Project","Sakhartov, Arkadiy V",
BADM 463,iVenture Accelerator Sem I,"Kourpas, Elias",
BADM 502,Communicating with Data,"Larson, Eric",3.84
BADM 508,Leadership and Teams,"Keating, Kari H",3.72
BADM 508,Leadership and Teams,"Kraatz, Matthew S",3.44
BADM 508,Leadership and Teams,"Loewenstein, Jeffrey",3.28
BADM 508,Leadership and Teams,"Luckman, Elizabeth",3.77
BADM 509,Managing Organizations,"Bednar, Michael K",3.78
BADM 510,Founds of Organizational Behav,"Ocasio, William C",
BADM 513,Communication Strategy in Bus,"Winter, Gretchen A",3.66
BADM 514,Managing Innovation,"Takeda, Yusaku",3.94
BADM 520,Marketing Management,"Noel, Hayden N",3.87
BADM 520,Marketing Management,"Raquel, Steve A",3.95
BADM 523,Dig Transformation in Cons Beh,"Lim, Sarah",
BADM 524,Pricing Strategy and Analytics,"Liu, Yunchuan",3.72
BADM 525,New Product Development,"Noel, Hayden N",3.88
BADM 526,Cons Analytics: Theory & Pract,"Bao, Ying",3.85
BADM 527,Brand Management,"Smith, Rosanna K",3.68
BADM 539,Math Models in Marketing,"Liu, Yunchuan",
BADM 541,Foundations of Strategic Mgmt,"Kim, June-Young",
BADM 543,Technology Strategy,"Roach, Michael",3.71
BADM 544,Strategic Management,"Somaya, Deepak",3.72
BADM 546,Entre & Innov I,"Shah, Sonali K",
BADM 546,Entre & Innov II,"Shah, Sonali K",
BADM 549,Economic Foundations of Strat,"Mahoney, Joseph T",
